Experiment,exp_name,species,nfert,ozone,burn,soil,water,heat,Citation,Sample date,Proxy type,Soil depth,Unit,aCO2,eCO2,Description of data source,myc
FACTS I,,,,,,,,,Norby et al. 2005,2000,litter fall,N/A,g C/m2,219,258,website,ecm
FACTS I,,,,,,,,,Norby et al. 2005,2001,litter fall,N/A,g C/m2,195,273,website,ecm
FACTS I,,,,,,,,,Norby et al. 2005,2002,litter fall,N/A,g C/m2,217,279,website,ecm
FACTS I,,,,,,,,,Drake et al. 2011,2003-2007,litter fall (average),N/A,g C/m2,370,447,fig. 1 ,ecm
FACTS II,,Aspen,,amb,,,,,King et al. 2005,1998,fine root biomass,0-25 cm,g/m2,7.8,9.5,table 3,ecm
FACTS II,,Aspen,,amb,,,,,King et al. 2005,1999,fine root biomass,0-25 cm,g/m2,16.9,23,table 3,ecm
FACTS II,,Aspen,,amb,,,,,King et al. 2005,2000,fine root biomass,0-25 cm,g/m2,24.1,34,table 3,ecm
FACTS II,,Aspen,,amb,,,,,King et al. 2005,2001,fine root biomass,0-25 cm,g/m2,26.4,39.4,table 3,ecm
FACTS II,,Aspen,,amb,,,,,King et al. 2005,2002,fine root biomass,0-25 cm,g/m2,31.7,48.1,table 3,ecm
FACTS II,,Aspen,,amb,,,,,King et al. 2005,2003,fine root biomass,0-25 cm,g/m2,37.2,55.1,table 3,ecm
FACTS II,,Aspen,,amb,,,,,Pregitzer et al. 2008,jul. 2005,fine root biomass,0-25 cm,g/m2,105,150,fig. 2,ecm
FACTS II,,Aspen,,amb,,,,,King et al. 2005,1998,litter fall,N/A,g/m2,46.5,48.8,table 3,ecm
FACTS II,,Aspen,,amb,,,,,King et al. 2005,1999,litter fall,N/A,g/m2,139.2,169.5,table 3,ecm
FACTS II,,Aspen,,amb,,,,,King et al. 2005,2000,litter fall,N/A,g/m2,234.7,301.4,table 3,ecm
FACTS II,,Aspen,,amb,,,,,King et al. 2005,2001,litter fall,N/A,g/m2,271.3,376.9,table 3,ecm
FACTS II,,Aspen,,amb,,,,,King et al. 2005,2002,litter fall,N/A,g/m2,355.1,507.8,table 3,ecm
FACTS II,,Aspen,,amb,,,,,King et al. 2005,2003,litter fall,N/A,g/m2,450.8,627.8,table 3,ecm
FACTS II,,Aspen,,ele,,,,,King et al. 2005,1998,fine root biomass,0-25 cm,g/m2,11.9,15.2,table 3,ecm
FACTS II,,Aspen,,ele,,,,,King et al. 2005,1999,fine root biomass,0-25 cm,g/m2,24.8,31.8,table 3,ecm
FACTS II,,Aspen,,ele,,,,,King et al. 2005,2000,fine root biomass,0-25 cm,g/m2,35.4,47.8,table 3,ecm
FACTS II,,Aspen,,ele,,,,,King et al. 2005,2001,fine root biomass,0-25 cm,g/m2,38.5,56,table 3,ecm
