Experiment,exp_name,species,nfert,ozone,burn,soil,water,heat,Citation,Sample date,Proxy type,Soil depth,Unit,aCO2,eCO2,Description of data source,myc
Merritt Island,,,,,,,,,Day et al. 2013,dec. 1998,fine root biomass,0-10 cm,g/m2,1406,948,pers. comm.,ecm
Merritt Island,,,,,,,,,Day et al. 2013,sept. 1999,fine root biomass,0-10 cm,g/m2,1249,1377,pers. comm.,ecm
Merritt Island,,,,,,,,,Day et al. 2013,May-02,fine root biomass,0-10 cm,g/m2,1700,1178,pers. comm.,ecm
Merritt Island,,,,,,,,,Day et al. 2013,Jul-07,fine root biomass,0-10 cm,g/m2,675,472,pers. comm.,ecm
Merritt Island,,,,,,,,,Hungate et al. 2006,1997,litterfall,N/A,g/m2,83,108,fig. 1b,ecm
Merritt Island,,,,,,,,,Hungate et al. 2006,1998,litterfall,N/A,g/m2,209,293,fig. 1b,ecm
Merritt Island,,,,,,,,,Hungate et al. 2006,1999,litterfall,N/A,g/m2,149,196,fig. 1b,ecm
Merritt Island,,,,,,,,,Hungate et al. 2006,2000,litterfall,N/A,g/m2,155,234,fig. 1b,ecm
Merritt Island,,,,,,,,,Hungate et al. 2006,2001,litterfall,N/A,g/m2,227,293,fig. 1b,ecm
Merritt Island,,,,,,,,,Hungate et al. 2006,2002,litterfall,N/A,g/m2,224,263,fig. 1b,ecm
NewZealandFACE,,,,,,,,,Ross et al. 2013,dec. 2000,total soil C input,N/A,g/m2/d,5.7,5.3,table 1,am
New Zealand Greenhouse,,,,,,,,,Newton et al. 1994,-,root biomass,0-25 cm,g/m2,250.6,377.4,table 2,am
New Zealand Greenhouse,,,,,,,,,Newton et al. 1994,-,aboveground yield,N/A,g/m2,1064,1140,table 2,am
New Zealand OTC,,P. radiata,,,,,,,Ross et al. 2006,mar. 2000,litter production,N/A,g/m2,362,359,table 1,ecm
New Zealand OTC,,N. fusca,,,,,,,Ross et al. 2006,mar. 2000,litter production,N/A,g/m2,299,385,table 1,ecm
ORNL FACE,,,,,,,,,Iversen et al. 2008,1998-2006,cummulative root litter input,0-15 cm,g/m2,592,761,fig. 3,am
ORNL FACE,,,,,,,,,Norby et al. 2010,1998,total litterfall ,N/A,g/m2,361,390,http://public.ornl.gov/face/ORNL/ornl_data_plantresponse.shtml,am
ORNL FACE,,,,,,,,,Norby et al. 2010,1999,total litterfall ,N/A,g/m2,441,502,http://public.ornl.gov/face/ORNL/ornl_data_plantresponse.shtml,am
ORNL FACE,,,,,,,,,Norby et al. 2010,2000,total litterfall ,N/A,g/m2,472,524.5,http://public.ornl.gov/face/ORNL/ornl_data_plantresponse.shtml,am
ORNL FACE,,,,,,,,,Norby et al. 2010,2001,total litterfall ,N/A,g/m2,461,486.5,http://public.ornl.gov/face/ORNL/ornl_data_plantresponse.shtml,am
ORNL FACE,,,,,,,,,Norby et al. 2010,2002,total litterfall ,N/A,g/m2,465.7,492.5,http://public.ornl.gov/face/ORNL/ornl_data_plantresponse.shtml,am
ORNL FACE,,,,,,,,,Norby et al. 2010,2003,total litterfall ,N/A,g/m2,478,480.5,http://public.ornl.gov/face/ORNL/ornl_data_plantresponse.shtml,am
ORNL FACE,,,,,,,,,Norby et al. 2010,2004,total litterfall ,N/A,g/m2,455.7,478.5,http://public.ornl.gov/face/ORNL/ornl_data_plantresponse.shtml,am
ORNL FACE,,,,,,,,,Norby et al. 2010,2005,total litterfall ,N/A,g/m2,497.7,555,http://public.ornl.gov/face/ORNL/ornl_data_plantresponse.shtml,am
ORNL FACE,,,,,,,,,Norby et al. 2010,2006,total litterfall ,N/A,g/m2,447,494.5,http://public.ornl.gov/face/ORNL/ornl_data_plantresponse.shtml,am
ORNL FACE,,,,,,,,,Norby et al. 2010,2007,total litterfall ,N/A,g/m2,447.7,479.5,http://public.ornl.gov/face/ORNL/ornl_data_plantresponse.shtml,am
ORNL FACE,,,,,,,,,Norby et al. 2010,2008,total litterfall ,N/A,g/m2,419.7,438,http://public.ornl.gov/face/ORNL/ornl_data_plantresponse.shtml,am
Placerville,,,lo,,,,,,Johnson et al. 1997,oct. 1991,biomass (shoot + root),whole tree,g/tree,0.8,1.2,table 2,ecm
Placerville,,,lo,,,,,,Johnson et al. 1997,oc.t 1992,biomass (shoot + root),whole tree,g/tree,49,62,table 2,ecm
Placerville,,,lo,,,,,,Johnson et al. 1997,oc.t 1993,biomass (shoot + root),whole tree,g/tree,689,1244,table 2,ecm
Placerville,,,lo,,,,,,Haile-Mariam et al. 2000,oct. 1996,biomass (shoot + root),whole tree,g/m2,10973,14584,table 3,ecm
Placerville,,,med,,,,,,Johnson et al. 1997,oct. 1991,biomass (shoot + root),whole tree,g/tree,1.5,1.7,table 2,ecm
Placerville,,,med,,,,,,Johnson et al. 1997,oc.t 1992,biomass (shoot + root),whole tree,g/tree,80,83,table 2,ecm
Placerville,,,med,,,,,,Johnson et al. 1997,oc.t 1993,biomass (shoot + root),whole tree,g/tree,941,1407,table 2,ecm
Placerville,,,hi,,,,,,Johnson et al. 1997,oct. 1991,biomass (shoot + root),whole tree,g/tree,2,2,table 2,ecm
Placerville,,,hi,,,,,,Johnson et al. 1997,oc.t 1992,biomass (shoot + root),whole tree,g/tree,90,114,table 2,ecm
Placerville,,,hi,,,,,,Johnson et al. 1997,oc.t 1993,biomass (shoot + root),whole tree,g/tree,1386,2363,table 2,ecm
Placerville,,,hi,,,,,,Haile-Mariam et al. 2000,oct. 1996,biomass (shoot + root),whole tree,g/m2,14516,19522,table 3,ecm
POPFACE,,alba,,,,,,,Lukac et al. 2003,1999-2001,cummulative root litter input,0-40 cm,g/m2,124,189,table 7,ecm
POPFACE,,alba,,,,,,,Norby et al. 2005,2000,total litterfall ,N/A,g C/m2,208,216,http://public.ornl.gov/face/npp_synthesis.shtml,ecm
POPFACE,,alba,,,,,,,Norby et al. 2005,2001,total litterfall ,N/A,g C/m2,234,250,http://public.ornl.gov/face/npp_synthesis.shtml,ecm
POPFACE,,euramericana,,,,,,,Lukac et al. 2003,1999-2001,cummulative root litter input,0-40 cm,g/m2,128,232,table 7,ecm
POPFACE,,euramericana,,,,,,,Norby et al. 2005,2000,total litterfall ,N/A,g C/m2,238,238,http://public.ornl.gov/face/npp_synthesis.shtml,ecm
POPFACE,,euramericana,,,,,,,Norby et al. 2005,2001,total litterfall ,N/A,g C/m2,283,292,http://public.ornl.gov/face/npp_synthesis.shtml,ecm
POPFACE,,nigra,,,,,,,Lukac et al. 2003,1999-2001,cummulative root litter input,0-40 cm,g/m2,170,309,table 7,ecm
POPFACE,,nigra,,,,,,,Norby et al. 2005,2000,total litterfall ,N/A,g C/m2,224,224,http://public.ornl.gov/face/npp_synthesis.shtml,ecm
POPFACE,,nigra,,,,,,,Norby et al. 2005,2001,total litterfall ,N/A,g C/m2,300,323,http://public.ornl.gov/face/npp_synthesis.shtml,ecm
Shortgrass prairie,,,,,,,,,Pendall et al. 2004,nov. 2001,root biomass,0-5 cm,g/m2,275,306,fig. 2,am
Shortgrass prairie,,,,,,,,,Morgan et al. 2004,1997-2001,aboveground NPP,N/A,g/m2,133,187,fig. 1,am
SoyFACE,,,,,,,,,Morgan et al. 2005,2002,aboveground NPP (soybean),N/A,g/m2,1187,1365,fig. 3,am
SoyFACE,,,,,,,,,Morgan et al. 2005,2003,aboveground NPP (soybean),N/A,g/m2,794,933,fig. 3,am
SoyFACE,,,,,,,,,Rodriguez 2004,,belowground NPP (soybean),N/A,,,30%,"Moran and Jastrow 2010, text",am
SoyFACE,,,,,,,,,Leakey et al. 2006,2004,aboveground biomass (corn),N/A,g/plant,274,273,table 3,am
SwissFACE,,lol,lo,,,,,,Hebeisen et al. 1997,nov. 1993,root biomass,0-50 cm,g/m2,238,377,"fig. 4, mean of cutting frequencies",am
SwissFACE,,lol,lo,,,,,,Hebeisen et al. 1997,nov. 1994,root biomass,0-50 cm,g/m2,334,474,"fig. 4, mean of cutting frequencies",am
SwissFACE,,lol,lo,,,,,,Hebeisen et al. 1997,nov. 1995,root biomass,0-50 cm,g/m2,245,358,"fig. 4, mean of cutting frequencies",am
SwissFACE,,lol,lo,,,,,,Daepp et al. 2000,1993,yield,N/A,g/m2,416,439,fig. 1a,am
SwissFACE,,lol,lo,,,,,,Daepp et al. 2000,1994,yield,N/A,g/m2,693,616,fig. 1a,am
SwissFACE,,lol,lo,,,,,,Daepp et al. 2000,1995,yield,N/A,g/m2,809,832,fig. 1a,am
SwissFACE,,lol,lo,,,,,,Daepp et al. 2000,1996,yield,N/A,g/m2,740,670,fig. 1a,am
SwissFACE,,lol,lo,,,,,,Daepp et al. 2000,1997,yield,N/A,g/m2,909,909,fig. 1a,am
SwissFACE,,lol,lo,,,,,,Daepp et al. 2000,1998,yield,N/A,g/m2,698,761,fig. 1a,am
SwissFACE,,lol,hi,,,,,,"Hebeisen et al., 1997",nov. 1993,root biomass,0-50 cm,g/m2,206,267,"fig. 4, mean of cutting frequencies",am
SwissFACE,,lol,hi,,,,,,"Hebeisen et al., 1997",nov. 1994,root biomass,0-50 cm,g/m2,173,375,"fig. 4, mean of cutting frequencies",am
SwissFACE,,lol,hi,,,,,,"Hebeisen et al., 1997",nov. 1995,root biomass,0-50 cm,g/m2,96,254,"fig. 4, mean of cutting frequencies",am
SwissFACE,,lol,hi,,,,,,Daepp et al. 2000,1993,yield,N/A,g/m2,1125,1210,fig. 1a,am
SwissFACE,,lol,hi,,,,,,Daepp et al. 2000,1994,yield,N/A,g/m2,1302,1510,fig. 1a,am
SwissFACE,,lol,hi,,,,,,Daepp et al. 2000,1995,yield,N/A,g/m2,1541,1757,fig. 1a,am
SwissFACE,,lol,hi,,,,,,Daepp et al. 2000,1996,yield,N/A,g/m2,1302,1610,fig. 1a,am
SwissFACE,,lol,hi,,,,,,Daepp et al. 2000,1997,yield,N/A,g/m2,1803,2042,fig. 1a,am
SwissFACE,,lol,hi,,,,,,Daepp et al. 2000,1998,yield,N/A,g/m2,1294,1626,fig. 1a,am
SwissFACE,,tri,lo,,,,,,"Hebeisen et al., 1997",nov. 1993,root biomass,0-50 cm,g/m2,48,60,"fig. 4, mean of cutting frequencies",am
SwissFACE,,tri,lo,,,,,,"Hebeisen et al., 1997",nov. 1994,root biomass,0-50 cm,g/m2,59,88,"fig. 4, mean of cutting frequencies",am
SwissFACE,,tri,lo,,,,,,"Hebeisen et al., 1997",nov. 1995,root biomass,0-50 cm,g/m2,66,81,"fig. 4, mean of cutting frequencies",am
SwissFACE,,tri,lo,,,,,,"Hebeisen et al., 1997",1993,yield,N/A,g/m2,831,1018,"fig. 1a, mean of cutting frequencies",am
SwissFACE,,tri,lo,,,,,,"Hebeisen et al., 1997",1994,yield,N/A,g/m2,1039,1283,"fig. 1a, mean of cutting frequencies",am
SwissFACE,,tri,lo,,,,,,"Hebeisen et al., 1997",1995,yield,N/A,g/m2,961,1060,"fig. 1a, mean of cutting frequencies",am
SwissFACE,,tri,hi,,,,,,"Hebeisen et al., 1997",nov. 1993,root biomass,0-50 cm,g/m2,59,82,"fig. 4, mean of cutting frequencies",am
SwissFACE,,tri,hi,,,,,,"Hebeisen et al., 1997",nov. 1994,root biomass,0-50 cm,g/m2,68,81,"fig. 4, mean of cutting frequencies",am
SwissFACE,,tri,hi,,,,,,"Hebeisen et al., 1997",nov. 1995,root biomass,0-50 cm,g/m2,60,75,"fig. 4, mean of cutting frequencies",am
SwissFACE,,tri,hi,,,,,,"Hebeisen et al., 1997",1993,yield,N/A,g/m2,860,1003,"fig. 1a, mean of cutting frequencies",am
SwissFACE,,tri,hi,,,,,,"Hebeisen et al., 1997",1994,yield,N/A,g/m2,1031,1225,"fig. 1a, mean of cutting frequencies",am
SwissFACE,,tri,hi,,,,,,"Hebeisen et al., 1997",1995,yield,N/A,g/m2,964,1053,"fig. 1a, mean of cutting frequencies",am
Swiss Greenhouse,,,,,,,,,K_rner and Arnone 1992,-,fine root biomass,0-20 cm,g/m2,135,196,table 1,am
Swiss Greenhouse,,,,,,,,,K_rner and Arnone 1992,-,litterfall,N/A,g/m2,8.4,11.6,table 1,am
Tallgrass Prairie,,,,,,,,,Jastrow et al. 2000,nov. 1996,fine root biomass,0-5 cm,g/m2,141,210,table 1,am
Tallgrass Prairie,,,,,,,,,Owensby et al. 1999,1989 - peak biomass,aboveground biomass,N/A,g/m2,181,256,fig. 3,am
Tallgrass Prairie,,,,,,,,,Owensby et al. 1999,1990 - peak biomass,aboveground biomass,N/A,g/m2,557,557,fig. 3,am
Tallgrass Prairie,,,,,,,,,Owensby et al. 1999,1991 - peak biomass,aboveground biomass,N/A,g/m2,556,722,fig. 3,am
Tallgrass Prairie,,,,,,,,,Owensby et al. 1999,1992 - peak biomass,aboveground biomass,N/A,g/m2,506,500,fig. 3,am
Tallgrass Prairie,,,,,,,,,Owensby et al. 1999,1993 - peak biomass,aboveground biomass,N/A,g/m2,793,793,fig. 3,am
Tallgrass Prairie,,,,,,,,,Owensby et al. 1999,1994 - peak biomass,aboveground biomass,N/A,g/m2,749,906,fig. 3,am
Tallgrass Prairie,,,,,,,,,Owensby et al. 1999,1995 - peak biomass,aboveground biomass,N/A,g/m2,605,562,fig. 3,am
Tallgrass Prairie,,,,,,,,,Owensby et al. 1999,1996 - peak biomass,aboveground biomass,N/A,g/m2,700,950,fig. 3,am
UMBS,,aspen,,,,,,,Zak et al. 1993,oct. 1991,root biomass,0-1.3 m,g/chamber,77.3,124.1,table 1,ecm
UMBS,,aspen,,,,,,,Zak et al. 1993,oct. 1991,aboveground biomass,-,g/chamber,68.6,71.4,table 1,ecm
WSL,,,lo,,,loam,,,Spinnler et al. 2002,nov. 1995,fine root biomass,0-60 cm,g/m2,49,51,fig. 5,ecm
WSL,,,lo,,,loam,,,Spinnler et al. 2002,nov. 1997,fine root biomass,0-60 cm,g/m2,334,311,fig. 5,ecm
WSL,,,lo,,,loam,,,Spinnler et al. 2002,aug. 1998,fine root biomass,0-60 cm,g/m2,308,283,fig. 5,ecm
WSL,,,lo,,,loam,,,Spinnler et al. 2002,aug. 1998,total biomass,N/A,g/m2,2411,2525,"fig. 2, species combined",ecm
WSL,,,hi,,,loam,,,Spinnler et al. 2002,nov. 1995,fine root biomass,0-60 cm,g/m2,75,75,fig. 5,ecm
WSL,,,hi,,,loam,,,Spinnler et al. 2002,nov. 1997,fine root biomass,0-60 cm,g/m2,300,320,fig. 5,ecm
WSL,,,hi,,,loam,,,Spinnler et al. 2002,aug. 1998,fine root biomass,0-60 cm,g/m2,390,379,fig. 5,ecm
WSL,,,hi,,,loam,,,Spinnler et al. 2002,aug. 1998,total biomass,N/A,g/m2,3228,3418,"fig. 2, species combined",ecm
WSL,,,lo,,,sand,,,Spinnler et al. 2002,nov. 1995,fine root biomass,0-60 cm,g/m2,95,79,fig. 5,ecm
WSL,,,lo,,,sand,,,Spinnler et al. 2002,nov. 1997,fine root biomass,0-60 cm,g/m2,169,226,fig. 5,ecm
WSL,,,lo,,,sand,,,Spinnler et al. 2002,aug. 1998,fine root biomass,0-60 cm,g/m2,178,321,fig. 5,ecm
WSL,,,lo,,,sand,,,Spinnler et al. 2002,aug. 1998,total biomass,N/A,g/m2,3861,4889,"fig. 2, species combined",ecm
WSL,,,hi,,,sand,,,Spinnler et al. 2002,nov. 1995,fine root biomass,0-60 cm,g/m2,83,83,fig. 5,ecm
WSL,,,hi,,,sand,,,Spinnler et al. 2002,nov. 1997,fine root biomass,0-60 cm,g/m2,257,257,fig. 5,ecm
WSL,,,hi,,,sand,,,Spinnler et al. 2002,aug. 1998,fine root biomass,0-60 cm,g/m2,178,251,fig. 5,ecm
WSL,,,hi,,,sand,,,Spinnler et al. 2002,aug. 1998,total biomass,N/A,g/m2,3703,4684,"fig. 2, species combined",ecm
